# ID   log(Xflux)   log(Xlum)   Xclass
       46045      -99.000000      -99.000000   -
       46066      -99.000000      -99.000000   -
       46070      -99.000000      -99.000000   -
       46247      -99.000000      -99.000000   -
       46272      -99.000000      -99.000000   -
       46295      -99.000000      -99.000000   -
       46340      -14.681937       44.158362   AGN
       46560      -99.000000      -99.000000   -
       46709      -99.000000      -99.000000   -
       46764      -99.000000      -99.000000   -
       46898      -99.000000      -99.000000   -
       42861      -99.000000      -99.000000   -
       43386      -14.946922       43.332438   AGN
       43403      -99.000000      -99.000000   -
       43686      -99.000000      -99.000000   -
       43812      -99.000000      -99.000000   -
       43826      -99.000000      -99.000000   -
       43904      -99.000000      -99.000000   -
       44095      -99.000000      -99.000000   -
       44101      -99.000000      -99.000000   -
       44116      -99.000000      -99.000000   -
       44130      -99.000000      -99.000000   -
       44135      -99.000000      -99.000000   -
       44225      -99.000000      -99.000000   -
       44288      -99.000000      -99.000000   -
       44311      -99.000000      -99.000000   -
       44408      -99.000000      -99.000000   -
       44427      -99.000000      -99.000000   -
       44620      -99.000000      -99.000000   -
       44651      -99.000000      -99.000000   -
       44707      -99.000000      -99.000000   -
       44723      -99.000000      -99.000000   -
       44794      -99.000000      -99.000000   -
       44857      -99.000000      -99.000000   -
       44889      -99.000000      -99.000000   -
       44957      -99.000000      -99.000000   -
       44999      -99.000000      -99.000000   -
       45069      -99.000000      -99.000000   -
       45122      -99.000000      -99.000000   -
       45148      -99.000000      -99.000000   -
       45192      -99.000000      -99.000000   -
       45219      -99.000000      -99.000000   -
       45242      -99.000000      -99.000000   -
       45264      -99.000000      -99.000000   -
       45273      -99.000000      -99.000000   -
       45364      -99.000000      -99.000000   -
       45424      -99.000000      -99.000000   -
       45469      -99.000000      -99.000000   -
       45480      -99.000000      -99.000000   -
       45485      -99.000000      -99.000000   -
       45524      -99.000000      -99.000000   -
       45551      -99.000000      -99.000000   -
       45574      -99.000000      -99.000000   -
       45590      -99.000000      -99.000000   -
       45591      -99.000000      -99.000000   -
       45667      -99.000000      -99.000000   -
       45672      -99.000000      -99.000000   -
       45752      -99.000000      -99.000000   -
       45789      -13.995679       43.824126   AGN
       45790      -99.000000      -99.000000   -
       45816      -99.000000      -99.000000   -
       45847      -99.000000      -99.000000   -
       45875      -99.000000      -99.000000   -
       45889      -99.000000      -99.000000   -
       45915      -99.000000      -99.000000   -
       45922      -99.000000      -99.000000   -
       46106      -99.000000      -99.000000   -
       46107      -99.000000      -99.000000   -
       46124      -99.000000      -99.000000   -
       46183      -99.000000      -99.000000   -
       46339      -99.000000      -99.000000   -
       46345      -99.000000      -99.000000   -
       46356      -99.000000      -99.000000   -
       46386      -99.000000      -99.000000   -
       46436      -99.000000      -99.000000   -
       46457      -99.000000      -99.000000   -
       46464      -99.000000      -99.000000   -
       46493      -99.000000      -99.000000   -
       46526      -99.000000      -99.000000   -
       46567      -99.000000      -99.000000   -
       46621      -99.000000      -99.000000   -
       46655      -99.000000      -99.000000   -
       46660      -99.000000      -99.000000   -
       46661      -99.000000      -99.000000   -
       46668      -99.000000      -99.000000   -
       46685      -99.000000      -99.000000   -
       46830      -99.000000      -99.000000   -
       46863      -99.000000      -99.000000   -
       46881      -99.000000      -99.000000   -
       46886      -99.000000      -99.000000   -
       46894      -99.000000      -99.000000   -
       46922      -99.000000      -99.000000   -
       46932      -99.000000      -99.000000   -
       46988      -99.000000      -99.000000   -
       47025      -99.000000      -99.000000   -
       47031      -99.000000      -99.000000   -
       47035      -99.000000      -99.000000   -
       47085      -99.000000      -99.000000   -
       47091      -99.000000      -99.000000   -
       47121      -99.000000      -99.000000   -
       47125      -99.000000      -99.000000   -
       47184      -99.000000      -99.000000   -
       47202      -99.000000      -99.000000   -
       47214      -99.000000      -99.000000   -
       47219      -99.000000      -99.000000   -
       47348      -99.000000      -99.000000   -
       47375      -99.000000      -99.000000   -
       47393      -99.000000      -99.000000   -
       47399      -99.000000      -99.000000   -
       47408      -99.000000      -99.000000   -
       47421      -99.000000      -99.000000   -
       47433      -99.000000      -99.000000   -
       47464      -99.000000      -99.000000   -
       47469      -99.000000      -99.000000   -
       47487      -99.000000      -99.000000   -
       47488      -99.000000      -99.000000   -
       47498      -99.000000      -99.000000   -
       47504      -99.000000      -99.000000   -
       47520      -99.000000      -99.000000   -
       47536      -99.000000      -99.000000   -
       47549      -99.000000      -99.000000   -
       47556      -99.000000      -99.000000   -
       47615      -99.000000      -99.000000   -
       47634      -99.000000      -99.000000   -
       47648      -99.000000      -99.000000   -
       47672      -99.000000      -99.000000   -
       47677      -99.000000      -99.000000   -
       47688      -99.000000      -99.000000   -
       47691      -99.000000      -99.000000   -
       47698      -99.000000      -99.000000   -
       47721      -99.000000      -99.000000   -
       47736      -99.000000      -99.000000   -
       47746      -99.000000      -99.000000   -
       47749      -99.000000      -99.000000   -
       47759      -99.000000      -99.000000   -
       47818      -99.000000      -99.000000   -
       47857      -99.000000      -99.000000   -
       47860      -99.000000      -99.000000   -
       47881      -99.000000      -99.000000   -
       47919      -99.000000      -99.000000   -
       47938      -99.000000      -99.000000   -
       47952      -99.000000      -99.000000   -
       47954      -99.000000      -99.000000   -
       47970      -99.000000      -99.000000   -
       47994      -99.000000      -99.000000   -
       48012      -99.000000      -99.000000   -
       48025      -99.000000      -99.000000   -
       48039      -99.000000      -99.000000   -
       48050      -99.000000      -99.000000   -
       48067      -99.000000      -99.000000   -
       48097      -99.000000      -99.000000   -
       48104      -99.000000      -99.000000   -
       48105      -99.000000      -99.000000   -
       48109      -99.000000      -99.000000   -
       48113      -99.000000      -99.000000   -
       48124      -99.000000      -99.000000   -
       48151      -99.000000      -99.000000   -
       48153      -99.000000      -99.000000   -
       48177      -99.000000      -99.000000   -
       48207      -99.000000      -99.000000   -
       48231      -99.000000      -99.000000   -
       48238      -99.000000      -99.000000   -
       48239      -99.000000      -99.000000   -
       48248      -99.000000      -99.000000   -
       48274      -99.000000      -99.000000   -
       48307      -99.000000      -99.000000   -
       48322      -99.000000      -99.000000   -
       48357      -99.000000      -99.000000   -
       48373      -99.000000      -99.000000   -
       48424      -99.000000      -99.000000   -
       48448      -99.000000      -99.000000   -
       48457      -99.000000      -99.000000   -
       48487      -99.000000      -99.000000   -
       48494      -99.000000      -99.000000   -
       48499      -99.000000      -99.000000   -
       48543      -99.000000      -99.000000   -
       48577      -99.000000      -99.000000   -
       48578      -99.000000      -99.000000   -
       48645      -99.000000      -99.000000   -
       48660      -99.000000      -99.000000   -
       48672      -99.000000      -99.000000   -
       48685      -99.000000      -99.000000   -
       48692      -99.000000      -99.000000   -
       48714      -99.000000      -99.000000   -
       48720      -99.000000      -99.000000   -
       48727      -99.000000      -99.000000   -
       48742      -99.000000      -99.000000   -
       48779      -99.000000      -99.000000   -
       48793      -14.330683       43.635484   AGN
       48818      -99.000000      -99.000000   -
       48849      -99.000000      -99.000000   -
       48850      -99.000000      -99.000000   -
       48893      -99.000000      -99.000000   -
       48918      -99.000000      -99.000000   -
       49002      -99.000000      -99.000000   -
       49036      -99.000000      -99.000000   -
       49040      -99.000000      -99.000000   -
       49046      -99.000000      -99.000000   -
       49053      -99.000000      -99.000000   -
       49063      -99.000000      -99.000000   -
       49100      -99.000000      -99.000000   -
       49105      -99.000000      -99.000000   -
       49132      -99.000000      -99.000000   -
       49194      -99.000000      -99.000000   -
       49209      -99.000000      -99.000000   -
       49247      -99.000000      -99.000000   -
       49257      -99.000000      -99.000000   -
       49263      -99.000000      -99.000000   -
       49330      -99.000000      -99.000000   -
       49340      -99.000000      -99.000000   -
       49346      -99.000000      -99.000000   -
       49377      -99.000000      -99.000000   -
       49402      -99.000000      -99.000000   -
       49426      -99.000000      -99.000000   -
       49466      -99.000000      -99.000000   -
       49493      -99.000000      -99.000000   -
       49501      -99.000000      -99.000000   -
       49504      -99.000000      -99.000000   -
       49554      -99.000000      -99.000000   -
       49597      -99.000000      -99.000000   -
       49609      -99.000000      -99.000000   -
       49612      -99.000000      -99.000000   -
       49662      -99.000000      -99.000000   -
       49669      -99.000000      -99.000000   -
       49691      -99.000000      -99.000000   -
       49693      -99.000000      -99.000000   -
       49702      -99.000000      -99.000000   -
       49718      -99.000000      -99.000000   -
       49720      -99.000000      -99.000000   -
       49728      -99.000000      -99.000000   -
       49742      -99.000000      -99.000000   -
       49780      -99.000000      -99.000000   -
       49836      -99.000000      -99.000000   -
       49837      -99.000000      -99.000000   -
       49838      -99.000000      -99.000000   -
       49872      -99.000000      -99.000000   -
       49874      -99.000000      -99.000000   -
       49888      -99.000000      -99.000000   -
       49891      -99.000000      -99.000000   -
       49896      -99.000000      -99.000000   -
       49904      -99.000000      -99.000000   -
       49941      -99.000000      -99.000000   -
       49955      -99.000000      -99.000000   -
       50110      -99.000000      -99.000000   -
       50214      -99.000000      -99.000000   -
       50249      -99.000000      -99.000000   -
       50292      -99.000000      -99.000000   -
       50389      -99.000000      -99.000000   -
       50450      -99.000000      -99.000000   -
       39342      -99.000000      -99.000000   -
       39599      -99.000000      -99.000000   -
