,ID,LOG_X_FLUX,LOG_X_LUM,X_CLASS
1430,36653,-16.179142,41.664642,b'Galaxy'
1468,37256,-14.194499,43.143015,b'AGN'
1476,37360,-16.016825,41.243038,b'Galaxy'
1480,37387,-15.38405,42.264818,b'AGN'
1506,37739,-15.345823,41.933993,b'AGN'
1531,38046,-14.665546,44.029384,b'AGN'
1549,38472,-14.754487,43.506505,b'AGN'
1589,39120,-15.853872,42.542825,b'AGN'
1625,39751,-14.489455,43.454845,b'AGN'
1632,39825,-15.669586,42.212188,b'AGN'
1682,40891,-15.88941,41.593286,b'Galaxy'
1700,41370,-15.79588,41.906335,b'Galaxy'
1732,42113,-15.679854,42.619093,b'AGN'
1746,42607,-15.404504,43.578639,b'AGN'
1748,42778,-16.053548,42.220108,b'AGN'
1756,42915,-14.548214,43.677607,b'AGN'
1783,44157,-15.774691,42.652246,b'AGN'
1792,44824,-15.440093,42.945961,b'AGN'
1801,45068,-15.178486,43.895423,b'AGN'
1814,45378,-14.714443,43.724276,b'AGN'
1831,45975,-15.759451,41.665581,b'Galaxy'
1860,46846,-15.270026,42.630428,b'AGN'
1899,15773,-16.366532,39.346353,b'Galaxy'
1900,17034,-16.542118,39.668386,b'Galaxy'
1905,17928,-15.739929,41.39794,b'Galaxy'
1910,18175,-16.374688,40.836324,b'AGN'
1913,18201,-15.876148,41.739572,b'AGN'
1916,18230,-16.497573,41.800717,b'AGN'
1921,18354,-16.183096,41.944976,b'AGN'
1926,18500,-16.609065,41.817565,b'Galaxy'
1937,18761,-16.61261,39.660865,b'Galaxy'
1947,19019,-16.289883,39.83187,b'Galaxy'
1948,19028,-16.653647,41.859138,b'AGN'
1952,19146,-16.435334,39.751279,b'Galaxy'
1962,19348,-15.408935,43.536558,b'AGN'
1966,19459,-15.686133,41.056905,b'Galaxy'
1988,20137,-16.149967,42.093422,b'AGN'
1998,20356,-16.489455,40.190332,b'Galaxy'
2002,20403,-15.555955,42.804139,b'AGN'
2024,20651,-15.614394,42.521138,b'AGN'
2027,20671,-16.497573,40.806858,b'Galaxy'
2035,20788,-14.220404,44.905796,b'AGN'
2043,20898,-16.446117,40.652246,b'Galaxy'
2063,21205,-14.651695,44.033424,b'AGN'
2078,21615,-14.838632,43.951338,b'AGN'
2091,21797,-16.640165,41.855519,b'Galaxy'
2099,21890,-16.238072,39.788875,b'Galaxy'
2104,21978,-15.106238,41.748963,b'Galaxy'
2132,22569,-16.545155,41.522444,b'Galaxy'
2140,22793,-16.364516,41.822822,b'AGN'
2149,22942,-16.441291,40.848805,b'Galaxy'
2150,23048,-16.20621,40.892651,b'Galaxy'
2165,23421,-15.931814,42.11059,b'AGN'
2189,23908,-16.519993,42.418301,b'AGN'
2201,24110,-16.029653,42.378398,b'Galaxy'
2211,24289,-15.61261,42.943,b'AGN'
2226,24519,-16.657577,41.352183,b'Galaxy'
2231,24622,-16.330683,41.082785,b'Galaxy'
2266,25053,-16.459671,40.962369,b'Galaxy'
2270,25142,-16.400117,40.25042,b'Galaxy'
2271,25172,-16.119186,40.103804,b'Galaxy'
2290,25592,-16.103474,41.350248,b'Galaxy'
2292,25632,-16.295849,40.227887,b'Galaxy'
2293,25641,-15.723538,42.416641,b'AGN'
2307,25843,-16.283997,41.623249,b'AGN'
2310,25884,-15.777284,42.0086,b'AGN'
2326,26087,-16.59176,41.522444,b'Galaxy'
2337,26322,-16.340084,41.10721,b'AGN'
2340,26377,-15.966576,40.886491,b'Galaxy'
2346,26550,-16.449772,41.965672,b'Galaxy'
2371,26914,-16.400117,40.998259,b'Galaxy'
2372,26915,-16.087247,41.889862,b'AGN'
2405,27549,-16.486782,39.826075,b'Galaxy'
2412,27706,-14.645892,44.296665,b'AGN'
2422,27965,-16.484126,40.781037,b'Galaxy'
2425,28022,-16.20621,42.053078,b'Galaxy'
2438,28190,-16.759451,41.717671,b'Galaxy'
2472,28878,-16.251812,42.190332,b'Galaxy'
2504,29565,-16.376751,40.943495,b'Galaxy'
2506,29606,-16.35164,42.658011,b'AGN'
2516,29717,-15.928118,42.113943,b'AGN'
2517,29723,-16.419075,40.41162,b'Galaxy'
2519,29730,-16.129596,41.60206,b'Galaxy'
2525,29816,-14.234331,44.103804,b'AGN'
2532,29868,-16.324222,42.33646,b'Galaxy'
2533,29928,-16.524329,41.463893,b'Galaxy'
2534,29933,-16.086716,41.559907,b'AGN'
2536,29977,-16.478862,42.220108,b'AGN'
2547,30144,-16.36251,41.424882,b'Galaxy'
2548,30152,-15.093126,42.283301,b'AGN'
2553,30274,-15.580044,43.139879,b'AGN'
2566,30432,-16.468521,41.555094,b'Galaxy'
2574,30534,-14.546682,43.705008,b'AGN'
2585,30682,-16.402305,41.768638,b'AGN'
2589,30712,-16.266803,42.187521,b'AGN'
2590,30725,-16.102373,40.133539,b'AGN'
2607,30976,-14.187087,43.822822,b'AGN'
2609,30997,-16.107905,41.83123,b'Galaxy'
2627,31397,-16.288193,42.075547,b'AGN'
2629,31425,-14.552842,43.20412,b'AGN'
2634,31463,-16.251037,40.495544,b'Galaxy'
2640,31553,-16.123205,40.889862,b'Galaxy'
2654,31907,-16.118615,42.164353,b'AGN'
2679,32762,-15.896196,39.904716,b'Galaxy'
2686,35688,-16.225483,40.686636,b'Galaxy'
2687,36183,-14.785156,41.469822,b'Galaxy'
2688,36224,-15.946922,39.378398,b'Galaxy'
2691,36844,-15.549751,40.181844,b'AGN'
2715,37542,-15.823909,43.113943,b'AGN'
2731,38092,-16.334419,41.267172,b'Galaxy'
2747,38513,-15.806875,42.434569,b'AGN'
2769,39015,-16.21467,41.025306,b'Galaxy'
2788,39603,-16.106238,41.993877,b'Galaxy'
2798,39825,-15.669586,42.212188,b'AGN'
2820,40305,-15.510042,43.089905,b'AGN'
2871,41181,-14.294136,44.423246,b'AGN'
2878,41341,-15.882729,42.20412,b'AGN'
2896,41748,-15.14691,43.466868,b'AGN'
2905,41886,-15.319664,43.631444,b'AGN'
2937,42402,-15.882729,42.468347,b'AGN'
2946,42504,-15.340084,42.089905,b'Galaxy'
2948,42556,-14.906578,43.885926,b'AGN'
2967,42758,-15.869666,42.49693,b'AGN'
3024,44066,-14.280669,43.929419,b'AGN'
3049,44523,-15.477556,42.214844,b'AGN'
3088,45597,-14.522879,43.041393,b'AGN'
3096,45795,-13.970616,43.575188,b'AGN'
3098,45940,-15.716699,41.029384,b'Galaxy'
3125,47157,-12.954677,44.423246,b'AGN'
