# ID   log(Xflux)   log(Xlum)   Xclass
       37850      -99.000000      -99.000000   -
       37852      -99.000000      -99.000000   -
       37854      -99.000000      -99.000000   -
       37859      -99.000000      -99.000000   -
       37860      -99.000000      -99.000000   -
       37863      -99.000000      -99.000000   -
       37864      -99.000000      -99.000000   -
       37878      -99.000000      -99.000000   -
       37882      -99.000000      -99.000000   -
       37887      -99.000000      -99.000000   -
       37889      -99.000000      -99.000000   -
       37890      -99.000000      -99.000000   -
       37892      -99.000000      -99.000000   -
       37893      -99.000000      -99.000000   -
       37896      -99.000000      -99.000000   -
       37899      -99.000000      -99.000000   -
       37901      -99.000000      -99.000000   -
       37903      -99.000000      -99.000000   -
       37906      -99.000000      -99.000000   -
       37907      -99.000000      -99.000000   -
       37909      -99.000000      -99.000000   -
       37910      -99.000000      -99.000000   -
       37911      -99.000000      -99.000000   -
       37913      -99.000000      -99.000000   -
       37914      -99.000000      -99.000000   -
       37917      -99.000000      -99.000000   -
       37922      -99.000000      -99.000000   -
       37927      -99.000000      -99.000000   -
       37928      -99.000000      -99.000000   -
       37932      -99.000000      -99.000000   -
       37942      -99.000000      -99.000000   -
       37947      -99.000000      -99.000000   -
       37950      -99.000000      -99.000000   -
       37951      -99.000000      -99.000000   -
       37953      -99.000000      -99.000000   -
       37955      -99.000000      -99.000000   -
       37957      -99.000000      -99.000000   -
       37960      -14.050122       44.307496   AGN
       37961      -99.000000      -99.000000   -
       37963      -99.000000      -99.000000   -
       37966      -99.000000      -99.000000   -
       37970      -99.000000      -99.000000   -
       37974      -99.000000      -99.000000   -
       37975      -99.000000      -99.000000   -
       37979      -99.000000      -99.000000   -
       37985      -99.000000      -99.000000   -
       37987      -99.000000      -99.000000   -
       37989      -99.000000      -99.000000   -
       37991      -99.000000      -99.000000   -
       37996      -99.000000      -99.000000   -
       37999      -99.000000      -99.000000   -
       38003      -99.000000      -99.000000   -
       38006      -99.000000      -99.000000   -
       38007      -99.000000      -99.000000   -
       38010      -99.000000      -99.000000   -
       38014      -99.000000      -99.000000   -
       38018      -99.000000      -99.000000   -
       38022      -99.000000      -99.000000   -
       38027      -99.000000      -99.000000   -
       38030      -99.000000      -99.000000   -
       38032      -99.000000      -99.000000   -
       38040      -99.000000      -99.000000   -
       38041      -99.000000      -99.000000   -
       38043      -99.000000      -99.000000   -
       38046      -99.000000      -99.000000   -
       38057      -15.401209       42.905256   AGN
       38061      -99.000000      -99.000000   -
       38062      -99.000000      -99.000000   -
       38065      -99.000000      -99.000000   -
       38068      -99.000000      -99.000000   -
       38070      -99.000000      -99.000000   -
       38072      -99.000000      -99.000000   -
       38074      -99.000000      -99.000000   -
       38077      -99.000000      -99.000000   -
       38078      -99.000000      -99.000000   -
       38085      -99.000000      -99.000000   -
       38088      -99.000000      -99.000000   -
       38089      -99.000000      -99.000000   -
       38091      -99.000000      -99.000000   -
       38093      -99.000000      -99.000000   -
       38098      -99.000000      -99.000000   -
       38099      -99.000000      -99.000000   -
       38101      -99.000000      -99.000000   -
       38102      -99.000000      -99.000000   -
       38105      -99.000000      -99.000000   -
       38106      -99.000000      -99.000000   -
       38107      -99.000000      -99.000000   -
       38108      -99.000000      -99.000000   -
       38110      -99.000000      -99.000000   -
       38111      -99.000000      -99.000000   -
       38112      -99.000000      -99.000000   -
       38114      -99.000000      -99.000000   -
       38116      -99.000000      -99.000000   -
       38118      -99.000000      -99.000000   -
       38120      -99.000000      -99.000000   -
       38121      -99.000000      -99.000000   -
       38123      -99.000000      -99.000000   -
       38125      -99.000000      -99.000000   -
       38126      -99.000000      -99.000000   -
       38127      -99.000000      -99.000000   -
       38130      -99.000000      -99.000000   -
       38134      -99.000000      -99.000000   -
       38138      -99.000000      -99.000000   -
       38139      -99.000000      -99.000000   -
       38140      -99.000000      -99.000000   -
       38143      -99.000000      -99.000000   -
       38149      -99.000000      -99.000000   -
       38154      -99.000000      -99.000000   -
       38155      -99.000000      -99.000000   -
