FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson
GN4,24089,189.2624384966491,62.26016354542583,1.813706968694783,-99.0,-99.0,1.0578850024886801,1.1926909694505001,-99.0,-99.0,0.731948501585376,0.659414832436663,1.43890270182027,0.9128434992745871,4.47364405597222,1.03413625814438,3.34791821296821,0.7870504153903549,14075.031294239854,2.826956321692651e+41,2.5074346767185262e+41,-2.346531356538353e+43,-2.346531356538353e+43,24089,53.1260963,-27.797333,1.51794,1.851,8.0,12.3416,2,0.121332,0.135935,0.0,0.0352498,0.0532804,,,0.3381,-1.0,3,0.3381,5.85,1.51794,0.080571,-87.2862,-1.6247,-18.428507,-18.568351
GN2,25004,189.1923747801479,62.26434637101141,1.400822714951369,-99.0,-99.0,11.1044012408149,2.75767091481223,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10224.095409667627,3.44893218440241e+41,1.3887924995783009e+42,-1.2381618285990717e+43,-1.2381618285990717e+43,25004,189.192374,62.26434467,25.9595,32.12,2.628,1.73891,0,0.158676,0.0473166,0.0,1.08752,1.32117,-21.419825,-21.758793,2.046,2.046,1,1.4736,9.53,25.9595,2.47846,-27.0801,-1.6508,,
GN2,25004,189.1923747801479,62.26434637101141,1.400822714951369,-99.0,-99.0,11.1044012408149,2.75767091481223,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,10224.095409667627,3.44893218440241e+41,1.3887924995783009e+42,-1.2381618285990717e+43,-1.2381618285990717e+43,25004,53.1717837,-27.7936579,0.0939482,0.09518,1.0366,0.111014,0,0.160956,0.00786616,0.0,0.07162,0.154207,,,0.7903,-1.0,3,0.7903,8.05,0.0939482,0.00386256,-2.21081,-2.0528,-16.141854,-16.694932
GN2,19235,189.13854002,62.23644663100001,1.43080775818793,17.5356641496124,6.23463086844641,10.391536101930999,4.5466831254284905,-99.0,-99.0,11.6815008592099,4.03625907523494,-99.0,-99.0,6.81840775667204,18.5731763816459,-99.0,-99.0,10496.337678506523,5.993254289101515e+41,1.369770370953262e+42,8.218238914496534e+41,2.3114805117852524e+42,19235,189.13854439,62.23644449,10.8916,15.2,1.3894,0.132358,0,0.196104,0.00717835,0.0,0.9491,1.24564,-20.559438,-20.98358,1.3448,1.3448,1,1.3166,9.52,10.8916,1.5281,-16.5569,-1.4669,,
GN7,19235,189.13854002,62.23644663100001,1.43080775818793,17.5356641496124,6.23463086844641,10.391536101930999,4.5466831254284905,-99.0,-99.0,11.6815008592099,4.03625907523494,-99.0,-99.0,6.81840775667204,18.5731763816459,-99.0,-99.0,10496.337678506523,5.993254289101515e+41,1.369770370953262e+42,8.218238914496534e+41,2.3114805117852524e+42,19235,189.13854439,62.23644449,10.8916,15.2,1.3894,0.132358,0,0.196104,0.00717835,0.0,0.9491,1.24564,-20.559438,-20.98358,1.3448,1.3448,1,1.3166,9.52,10.8916,1.5281,-16.5569,-1.4669,,
GN2,25505,189.26185836,62.266997332,1.574946433936163,-99.0,-99.0,0.59361115040366,0.952796345917108,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.4931541345113795,0.822511253908746,25.270314806302498,1.04754876592753,11822.270292740292,1.5932879841589544e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.091716,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.51049,16.0276,-0.3487,,
GN3,25505,189.26185836,62.266997332,1.574946433936163,-99.0,-99.0,0.59361115040366,0.952796345917108,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.4931541345113795,0.822511253908746,25.270314806302498,1.04754876592753,11822.270292740292,1.5932879841589544e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.091716,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.51049,16.0276,-0.3487,,
GN4,25505,189.26185836,62.266997332,1.574946433936163,-99.0,-99.0,0.59361115040366,0.952796345917108,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.4931541345113795,0.822511253908746,25.270314806302498,1.04754876592753,11822.270292740292,1.5932879841589544e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.091716,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.51049,16.0276,-0.3487,,
GN2,11785,189.23250176,62.20029981799999,1.919360936208572,0.261696245246934,1.78911586156353,2.42227807901753,2.71727023178576,-99.0,-99.0,2.06140972602872,1.77778265802833,3.33341459169937,1.92588383965988,9.63238461266368,2.18535529920095,3.4467267927802596,1.81628169757227,15091.763436948539,7.404661985678992e+41,6.600797447612414e+41,4.87540696288734e+41,7.131319573252074e+40,11785,53.0952675,-27.8549325,2.16765,3.177,2.2333,0.899764,0,0.077466,0.0216186,0.0,0.0499112,0.08652,,,1.0867,-1.0,3,1.0867,8.08,2.16765,0.513971,-20.5366,-1.0728,-17.879252,-18.091815
GN2,26410,189.2258273894941,62.2714218771636,1.863798645157712,0.503829964342166,0.670840257777902,0.187175354876521,1.10832933001108,-99.0,-99.0,1.01470847462261,0.6733873169771261,1.55930187503324,0.722659093465422,5.88205350539304,0.934425089209027,5.67618539265941,0.7214263745927689,14555.657822909548,2.8094734386152533e+41,4.744656427018066e+40,1.7004944602178702e+41,1.2771446753860015e+41,26410,189.22583239,62.27141767,24.4254,24.4254,1.2043,0.667332,0,0.176184,0.0293604,0.8,0.27859,0.46217,-20.31301,-21.049528,1.86337,-1.0,2,1.9322,9.89,20.4661,1.18194,20.7077,-1.2668,,
GN2,26410,189.2258273894941,62.2714218771636,1.863798645157712,0.503829964342166,0.670840257777902,0.187175354876521,1.10832933001108,-99.0,-99.0,1.01470847462261,0.6733873169771261,1.55930187503324,0.722659093465422,5.88205350539304,0.934425089209027,5.67618539265941,0.7214263745927689,14555.657822909548,2.8094734386152533e+41,4.744656427018066e+40,1.7004944602178702e+41,1.2771446753860015e+41,26410,53.1524865,-27.787686,0.00977349,0.02774,1.4854,0.551063,2,0.021366,0.00470983,0.0,0.0132079,0.0323744,,,0.6879,-1.0,3,0.6879,7.13,0.00977349,0.00146559,-0.654112,-0.8251,-12.806266,-13.729437
GN3,35084,189.24489199,62.32566672400001,1.563896852021337,-99.0,-99.0,0.970509647522972,0.9028957213843031,4.7707130112024805,1.72794298386897,1.24064422021768,0.9486067584599269,1.26735631828466,0.631021225177024,3.83183505643757,0.682064884518082,10.2008353440078,1.02456893729554,11719.658262140409,1.4837472273686125e+41,1.5948585916864588e+41,-1.626887491329365e+43,-1.626887491329365e+43,35084,189.24489301,62.3256673,9.82011,6.899,1.2416,0.250879,0,0.219174,0.0148506,0.0,0.37764,0.47228,-19.882918,-20.431487,1.56639,-1.0,2,1.5486,9.26,9.82011,0.383105,-22.4595,-1.5984,,
GN3,33438,189.1828782698184,62.3127340323187,1.683270498875124,2.05314939214091,1.03901206462678,0.129538227663445,1.0720547789644799,-99.0,-99.0,3.095677916208,0.9517855576872939,1.98816021107918,1.02684506333443,10.5263916548049,0.9226988404131871,22.1705702241773,1.01386702014056,12836.173157751435,2.1133943418563504e+41,2.553650828015152e+40,2.0482556130422098e+41,4.047474432722222e+41,33438,189.1828641,62.31272664,14.232,10.04,0.3913,0.0202272,0,0.343584,0.00349823,0.0,0.48402,0.61351,-20.29558,-20.752031,1.67915,-1.0,2,1.6532,9.3,14.232,0.522367,-21.4812,-1.6067,,
